allowEditableEmbedding	allowOutlines	allowPDFEmbedding	fontFamily	fontStyleName	fontStyleNameNative	fontType	name	fullName	fullNameNative	postscriptName
False	True	True	Apple Color Emoji	Regular	Regular	k.TrueType	Apple Color Emoji	Regular	Apple Color Emoji	Apple Color Emoji	
True	True	True	EmojiOne	Color	Color	k.OpenType_CFF	EmojiOne	Color	EmojiOne	EmojiOne	
False	True	True	A P-OTF A1ゴシック Std	L	L	k.OpenType_CID	A P-OTF A1ゴシック Std	L	A P-OTF A1Gothic Std L	A P-OTF A1ゴシック Std L	
False	True	True	A P-OTF A1ゴシック Std	B	B	k.OpenType_CID	A P-OTF A1ゴシック Std	B	A P-OTF A1Gothic Std B	A P-OTF A1ゴシック Std B	
False	True	True	A P-OTF 秀英角ゴシック金 Std	L	L	k.OpenType_CID	A P-OTF 秀英角ゴシック金 Std	L	A P-OTF Shuei KakuGo Kin Std L	A P-OTF 秀英角ゴシック金 Std L	
False	True	True	A P-OTF 秀英角ゴシック金 Std	B	B	k.OpenType_CID	A P-OTF 秀英角ゴシック金 Std	B	A P-OTF Shuei KakuGo Kin Std B	A P-OTF 秀英角ゴシック金 Std B	
False	True	True	A P-OTF 秀英角ゴシック金 StdN	L	L	k.OpenType_CID	A P-OTF 秀英角ゴシック金 StdN	L	A P-OTF Shuei KakuGo Kin StdN L	A P-OTF 秀英角ゴシック金 StdN L	
False	True	True	A-OTF A1明朝 Std	Bold	Bold	k.OpenType_CID	A-OTF A1明朝 Std	Bold	A-OTF A1 Mincho Std Bold	A-OTF A1明朝 Std Bold	
False	True	True	A-OTF UD新ゴ Pr6	L	L	k.OpenType_CID	A-OTF UD新ゴ Pr6	L	A-OTF UD Shin Go Pr6 L	A-OTF UD新ゴ Pr6 L	
False	True	True	A-OTF UD新ゴ Pr6	R	R	k.OpenType_CID	A-OTF UD新ゴ Pr6	R	A-OTF UD Shin Go Pr6 R	A-OTF UD新ゴ Pr6 R	
False	True	True	A-OTF UD新ゴ Pr6	M	M	k.OpenType_CID	A-OTF UD新ゴ Pr6	M	A-OTF UD Shin Go Pr6 M	A-OTF UD新ゴ Pr6 M	
False	True	True	A-OTF UD新ゴ Pr6	DB	DB	k.OpenType_CID	A-OTF UD新ゴ Pr6	DB	A-OTF UD Shin Go Pr6 DB	A-OTF UD新ゴ Pr6 DB	
False	True	True	A-OTF UD新ゴ Pr6	B	B	k.OpenType_CID	A-OTF UD新ゴ Pr6	B	A-OTF UD Shin Go Pr6 B	A-OTF UD新ゴ Pr6 B	
False	True	True	A-OTF UD新ゴ Pr6	H	H	k.OpenType_CID	A-OTF UD新ゴ Pr6	H	A-OTF UD Shin Go Pr6 H	A-OTF UD新ゴ Pr6 H	
False	True	True	A-OTF UD新ゴ Pro	L	L	k.OpenType_CID	A-OTF UD新ゴ Pro	L	A-OTF UD Shin Go Pro L	A-OTF UD新ゴ Pro L	
False	True	True	A-OTF UD新ゴ Pro	R	R	k.OpenType_CID	A-OTF UD新ゴ Pro	R	A-OTF UD Shin Go Pro R	A-OTF UD新ゴ Pro R	
False	True	True	A-OTF UD新ゴ Pro	M	M	k.OpenType_CID	A-OTF UD新ゴ Pro	M	A-OTF UD Shin Go Pro M	A-OTF UD新ゴ Pro M	
False	True	True	A-OTF UD新ゴ Pro	DB	DB	k.OpenType_CID	A-OTF UD新ゴ Pro	DB	A-OTF UD Shin Go Pro DB	A-OTF UD新ゴ Pro DB	
False	True	True	A-OTF UD新ゴ Pro	B	B	k.OpenType_CID	A-OTF UD新ゴ Pro	B	A-OTF UD Shin Go Pro B	A-OTF UD新ゴ Pro B	
False	True	True	A-OTF UD新ゴ Pro	H	H	k.OpenType_CID	A-OTF UD新ゴ Pro	H	A-OTF UD Shin Go Pro H	A-OTF UD新ゴ Pro H	
False	True	True	A-OTF UD新ゴNT Pro	R	R	k.OpenType_CID	A-OTF UD新ゴNT Pro	R	A-OTF UD Shin Go NT Pro R	A-OTF UD新ゴNT Pro R	
False	True	True	A-OTF UD新ゴNT Pro	DB	DB	k.OpenType_CID	A-OTF UD新ゴNT Pro	DB	A-OTF UD Shin Go NT Pro DB	A-OTF UD新ゴNT Pro DB	
False	True	True	A-OTF UD新ゴNT Pro	B	B	k.OpenType_CID	A-OTF UD新ゴNT Pro	B	A-OTF UD Shin Go NT Pro B	A-OTF UD新ゴNT Pro B	
False	True	True	A-OTF UD新丸ゴ Pro	R	R	k.OpenType_CID	A-OTF UD新丸ゴ Pro	R	A-OTF UD Shin Maru Go Pro R	A-OTF UD新丸ゴ Pro R	
False	True	True	A-OTF じゅん Pro	101	101	k.OpenType_CID	A-OTF じゅん Pro	101	A-OTF Jun Pro 101	A-OTF じゅん Pro 101	
False	True	True	A-OTF じゅん Pro	201	201	k.OpenType_CID	A-OTF じゅん Pro	201	A-OTF Jun Pro 201	A-OTF じゅん Pro 201	
False	True	True	A-OTF じゅん Pro	34	34	k.OpenType_CID	A-OTF じゅん Pro	34	A-OTF Jun Pro 34	A-OTF じゅん Pro 34	
False	True	True	A-OTF じゅん Pro	501	501	k.OpenType_CID	A-OTF じゅん Pro	501	A-OTF Jun Pro 501	A-OTF じゅん Pro 501	
False	True	True	A-OTF ゴシックMB101 Pr5	U	U	k.OpenType_CID	A-OTF ゴシックMB101 Pr5	U	A-OTF Gothic MB101 Pr5 U	A-OTF ゴシックMB101 Pr5 U	
False	True	True	A-OTF ゴシックMB101 Pr6	L	L	k.OpenType_CID	A-OTF ゴシックMB101 Pr6	L	A-OTF Gothic MB101 Pr6 L	A-OTF ゴシックMB101 Pr6 L	
False	True	True	A-OTF ゴシックMB101 Pr6	R	R	k.OpenType_CID	A-OTF ゴシックMB101 Pr6	R	A-OTF Gothic MB101 Pr6 R	A-OTF ゴシックMB101 Pr6 R	
False	True	True	A-OTF ゴシックMB101 Pr6	M	M	k.OpenType_CID	A-OTF ゴシックMB101 Pr6	M	A-OTF Gothic MB101 Pr6 M	A-OTF ゴシックMB101 Pr6 M	
False	True	True	A-OTF ゴシックMB101 Pr6	DB	DB	k.OpenType_CID	A-OTF ゴシックMB101 Pr6	DB	A-OTF Gothic MB101 Pr6 DB	A-OTF ゴシックMB101 Pr6 DB	
False	True	True	A-OTF ゴシックMB101 Pr6	B	B	k.OpenType_CID	A-OTF ゴシックMB101 Pr6	B	A-OTF Gothic MB101 Pr6 B	A-OTF ゴシックMB101 Pr6 B	
False	True	True	A-OTF ゴシックMB101 Pr6	H	H	k.OpenType_CID	A-OTF ゴシックMB101 Pr6	H	A-OTF Gothic MB101 Pr6 H	A-OTF ゴシックMB101 Pr6 H	
False	True	True	A-OTF ゴシックMB101 Pro	M	M	k.OpenType_CID	A-OTF ゴシックMB101 Pro	M	A-OTF Gothic MB101 Pro M	A-OTF ゴシックMB101 Pro M	
False	True	True	A-OTF ゴシックMB101 Pro	DB	DB	k.OpenType_CID	A-OTF ゴシックMB101 Pro	DB	A-OTF Gothic MB101 Pro DB	A-OTF ゴシックMB101 Pro DB	
False	True	True	A-OTF ゴシックMB101 Pro	B	B	k.OpenType_CID	A-OTF ゴシックMB101 Pro	B	A-OTF Gothic MB101 Pro B	A-OTF ゴシックMB101 Pro B	
False	True	True	A-OTF リュウミン Pr5	L-KL	L-KL	k.OpenType_CID	A-OTF リュウミン Pr5	L-KL	A-OTF Ryumin Pr5 L-KL	A-OTF リュウミン Pr5 L-KL	
False	True	True	A-OTF リュウミン Pr5	B-KL	B-KL	k.OpenType_CID	A-OTF リュウミン Pr5	B-KL	A-OTF Ryumin Pr5 B-KL	A-OTF リュウミン Pr5 B-KL	
False	True	True	A-OTF リュウミン Pr6	L-KL	L-KL	k.OpenType_CID	A-OTF リュウミン Pr6	L-KL	A-OTF Ryumin Pr6 L-KL	A-OTF リュウミン Pr6 L-KL	
False	True	True	A-OTF 中ゴシックBBB Pr6	Medium	Medium	k.OpenType_CID	A-OTF 中ゴシックBBB Pr6	Medium	A-OTF Gothic BBB Pr6 Medium	A-OTF 中ゴシックBBB Pr6 Medium	
False	True	True	A-OTF 中ゴシックBBB Pro	Medium	Medium	k.OpenType_CID	A-OTF 中ゴシックBBB Pro	Medium	A-OTF Gothic BBB Pro Medium	A-OTF 中ゴシックBBB Pro Medium	
False	True	True	A-OTF 太ゴB101 Pr5	Bold	Bold	k.OpenType_CID	A-OTF 太ゴB101 Pr5	Bold	A-OTF Futo Go B101 Pr5 Bold	A-OTF 太ゴB101 Pr5 Bold	
False	True	True	A-OTF 太ゴB101 Pro	Bold	Bold	k.OpenType_CID	A-OTF 太ゴB101 Pro	Bold	A-OTF Futo Go B101 Pro Bold	A-OTF 太ゴB101 Pro Bold	
False	True	True	A-OTF 新ゴ Pr5	R	R	k.OpenType_CID	A-OTF 新ゴ Pr5	R	A-OTF Shin Go Pr5 R	A-OTF 新ゴ Pr5 R	
False	True	True	A-OTF 新ゴ Pr5	M	M	k.OpenType_CID	A-OTF 新ゴ Pr5	M	A-OTF Shin Go Pr5 M	A-OTF 新ゴ Pr5 M	
False	True	True	A-OTF 新ゴ Pr5	B	B	k.OpenType_CID	A-OTF 新ゴ Pr5	B	A-OTF Shin Go Pr5 B	A-OTF 新ゴ Pr5 B	
False	True	True	A-OTF 新ゴ Pro	R	R	k.OpenType_CID	A-OTF 新ゴ Pro	R	A-OTF Shin Go Pro R	A-OTF 新ゴ Pro R	
False	True	True	A-OTF 新ゴ Pro	M	M	k.OpenType_CID	A-OTF 新ゴ Pro	M	A-OTF Shin Go Pro M	A-OTF 新ゴ Pro M	
False	True	True	A-OTF 新ゴ Pro	DB	DB	k.OpenType_CID	A-OTF 新ゴ Pro	DB	A-OTF Shin Go Pro DB	A-OTF 新ゴ Pro DB	
False	True	True	A-OTF 新ゴ Pro	B	B	k.OpenType_CID	A-OTF 新ゴ Pro	B	A-OTF Shin Go Pro B	A-OTF 新ゴ Pro B	
False	True	True	A-OTF 新ゴ Pro	H	H	k.OpenType_CID	A-OTF 新ゴ Pro	H	A-OTF Shin Go Pro H	A-OTF 新ゴ Pro H	
False	True	True	A-OTF 秀英明朝 Pr6	L	L	k.OpenType_CID	A-OTF 秀英明朝 Pr6	L	A-OTF Shuei Mincho Pr6 L	A-OTF 秀英明朝 Pr6 L	
False	True	True	A-OTF 秀英明朝 Pr6	B	B	k.OpenType_CID	A-OTF 秀英明朝 Pr6	B	A-OTF Shuei Mincho Pr6 B	A-OTF 秀英明朝 Pr6 B	
False	True	True	A-OTF 秀英角ゴシック金 Std	L	L	k.OpenType_CID	A-OTF 秀英角ゴシック金 Std	L	A-OTF Shuei KakuGo Kin Std L	A-OTF 秀英角ゴシック金 Std L	
False	True	True	A-OTF 秀英角ゴシック金 Std	B	B	k.OpenType_CID	A-OTF 秀英角ゴシック金 Std	B	A-OTF Shuei KakuGo Kin Std B	A-OTF 秀英角ゴシック金 Std B	
False	True	True	A-OTF 見出ゴMB31 Pr5	MB31	MB31	k.OpenType_CID	A-OTF 見出ゴMB31 Pr5	MB31	A-OTF Midashi Go MB31 Pr5 MB31	A-OTF 見出ゴMB31 Pr5 MB31	
False	True	True	A-OTF 見出ゴMB31 Pro	MB31	MB31	k.OpenType_CID	A-OTF 見出ゴMB31 Pro	MB31	A-OTF Midashi Go MB31 Pro MB31	A-OTF 見出ゴMB31 Pro MB31	
False	True	True	AXIS Std	L	L	k.OpenType_CID	AXIS Std	L	AXIS Std L	AXIS Std L	
False	True	True	AXIS Std	R	R	k.OpenType_CID	AXIS Std	R	AXIS Std R	AXIS Std R	
False	True	True	FOT-筑紫明朝 Pro	M	M	k.OpenType_CID	FOT-筑紫明朝 Pro	M	FOT-TsukuMin Pro M	FOT-筑紫明朝 Pro M	
False	True	True	Noto Sans CJK JP	Regular	Regular	k.OpenType_CID	Noto Sans CJK JP	Regular	Noto Sans CJK JP	Noto Sans CJK JP Regular	
False	True	True	Noto Sans CJK JP	Bold	Bold	k.OpenType_CID	Noto Sans CJK JP	Bold	Noto Sans CJK JP Bold	Noto Sans CJK JP Bold	
True	True	True	Noto Sans Yi	Regular	Regular	k.TrueType	Noto Sans Yi	Regular	Noto Sans Yi Regular	Noto Sans Yi Regular	
True	True	True	バナナスリップplus	plus	plus	k.OpenType_CID	バナナスリップplus	plus	bananaslipplus	バナナスリップplus plus	
True	True	True	ヒラギノUD角ゴ Std	W6	W6	k.OpenType_CID	ヒラギノUD角ゴ Std	W6	Hiragino UD Sans Std W6	ヒラギノUD角ゴ Std W6	
True	True	True	ヒラギノ丸ゴ Pro	W4	W4	k.OpenType_CID	ヒラギノ丸ゴ Pro	W4	Hiragino Maru Gothic Pro W4	ヒラギノ丸ゴ Pro W4	
True	True	True	ヒラギノ丸ゴ ProN	W4	W4	k.OpenType_CID	ヒラギノ丸ゴ ProN	W4	Hiragino Maru Gothic ProN W4	ヒラギノ丸ゴ ProN W4	
True	True	True	ヒラギノ明朝 Pro	W3	W3	k.OpenType_CID	ヒラギノ明朝 Pro	W3	Hiragino Mincho Pro W3	ヒラギノ明朝 Pro W3	
True	True	True	ヒラギノ明朝 Pro	W6	W6	k.OpenType_CID	ヒラギノ明朝 Pro	W6	Hiragino Mincho Pro W6	ヒラギノ明朝 Pro W6	
